221	1
222	0
223	1
224	1
225	2
226	5
227	5
228	8
229	13
230	15
231	20
232	39
233	35
234	54
235	61
236	83
237	126
238	177
239	199
240	277
241	298
242	452
243	525
244	665
245	870
246	1061
247	1320
248	1590
249	1896
250	2414
251	3011
252	3603
253	4441
254	5299
255	6658
256	7620
257	9377
258	11361
259	13828
260	15892
261	19477
262	22969
263	27486
264	32037
265	38358
266	44570
267	52724
268	62096
269	72918
270	84691
271	99057
272	115570
273	134135
274	155681
275	180509
276	209028
277	240315
278	277199
279	317658
280	365295
281	418035
282	481140
283	546446
284	625190
285	712077
286	811485
287	917857
288	1043202
289	1178486
290	1335746
291	1503933
292	1695839
293	1908466
294	2147156
295	2409571
296	2699103
297	3017487
298	3376482
299	3768873
300	4199413
301	4675269
302	5192818
303	5769639
304	6395722
305	7081448
306	7835663
307	8654013
308	9545361
309	10523232
310	11574267
311	12723415
312	13968812
313	15314836
314	16772781
315	18347830
316	20046599
317	21872468
318	23840874
319	25956897
320	28240143
321	30671684
322	33282041
323	36074235
324	39062563
325	42240598
326	45632788
327	49234447
328	53093383
329	57158334
330	61478966
331	66067488
332	70923641
333	76036222
334	81473503
335	87169418
336	93204537
337	99526648
338	106176158
339	113146052
340	120441077
341	128129143
342	136174532
343	144538284
344	153272127
345	162381867
346	171869295
347	181756953
348	191999201
349	202659984
350	213677932
351	225066860
352	236855978
353	249059869
354	261637034
355	274604480
356	287894264
357	301601100
358	315621475
359	330062368
360	344828776
361	359922038
362	375338133
363	391077615
364	407045767
365	423351808
366	439886400
367	456703707
368	473680635
369	490930310
370	508314590
371	525882794
372	543571089
373	561359180
374	579175378
375	597154618
376	615049032
377	633011371
378	650953398
379	668750073
380	686475859
381	704071571
382	721502023
383	738682917
384	755716560
385	772435665
386	788919679
387	804984783
388	820739346
389	835982647
390	850972562
391	865328249
392	879378655
393	892679148
394	905594395
395	917755120
396	929477448
397	940456472
398	950877859
399	960409794
400	969368039
401	977597422
402	984990992
403	991631261
404	997550087
405	1002583856
406	1006890886
407	1010339212
408	1012746563
409	1014623325
410	1015476141
411	1015578306
412	1014679568
413	1013047336
414	1010481646
415	1007160297
416	1002977793
417	998003997
418	992166021
419	985534342
420	978191422
421	969980870
422	961191425
423	951506454
424	941166312
425	930138887
426	918571077
427	906306293
428	893387099
429	879973749
430	866004681
431	851561913
432	836592564
433	821219929
434	805413900
435	789267695
436	772740601
437	755986171
438	738892868
439	721570157
440	704037394
441	686380956
442	668558262
443	650648400
444	632582998
445	614538851
446	596544687
447	578559836
448	560606792
449	542726265
450	524926907
451	507333469
452	489874910
453	472509332
454	455467879
455	438587224
456	421999908
457	405651361
458	389615814
459	373839311
460	358400459
461	343328190
462	328541093
463	314096305
464	300045530
465	286403301
466	273059301
467	260151286
468	247581895
469	235464801
470	223708589
471	212343805
472	201327578
473	190797051
474	180587769
475	170771803
476	161346281
477	152315751
478	143653421
479	135326766
480	127378489
481	119792950
482	112558333
483	105652935
484	99070208
485	92810536
486	86894220
487	81244118
488	75897564
489	70839381
490	66055283
491	61540397
492	57285402
493	53243317
494	49472490
495	45908416
496	42565242
497	39427184
498	36472147
499	33714977
500	31146741
501	28738415
502	26490685
503	24396916
504	22435972
505	20621282
506	18933819
507	17370417
508	15915954
509	14571266
510	13327380
511	12175227
512	11118479
513	10133377
514	9231254
515	8404070
516	7641288
517	6940420
518	6297713
519	5710345
520	5171196
521	4677285
522	4226581
523	3817497
524	3444776
525	3105369
526	2795227
527	2511390
528	2258234
529	2025286
530	1815067
531	1625519
532	1455704
533	1302050
534	1159588
535	1035037
536	923622
537	824072
538	731590
539	649440
540	577314
541	511885
542	453699
543	400908
544	355484
545	313308
546	276857
547	242892
548	214025
549	188212
550	165346
551	145437
552	127072
553	111151
554	97722
555	85101
556	74134
557	64888
558	56822
559	49390
560	42749
561	37192
562	32116
563	28065
564	24093
565	21092
566	17770
567	15632
568	13441
569	11523
570	9872
571	8498
572	7309
573	6239
574	5275
575	4546
576	3902
577	3331
578	2866
579	2384
580	2009
581	1680
582	1480
583	1220
584	1070
585	889
586	702
587	599
588	492
589	441
590	372
591	285
592	261
593	211
594	200
595	136
596	120
597	100
598	73
599	69
600	56
601	42
602	36
603	30
604	22
605	19
606	9
607	14
608	9
609	14
610	4
611	5
612	5
613	2
614	5
615	1
616	3
617	0
618	1
619	1
620	0
621	0
622	0
623	0
624	0
625	1
